kingdom,order,family,class,genus_matched,fa,ecosystem,concentration
Plantae,Ceramiales,Delesseriaceae,Florideophyceae,Pantoneura,dha,Marine,0
Plantae,Ceramiales,Delesseriaceae,Florideophyceae,Pantoneura,epa,Marine,25.9
Plantae,Ceramiales,Delesseriaceae,Florideophyceae,Phycodrys,ala,Marine,0
Plantae,Ceramiales,Delesseriaceae,Florideophyceae,Phycodrys,dha,Marine,0.3
Plantae,Ceramiales,Delesseriaceae,Florideophyceae,Phycodrys,epa,Marine,4.8
Plantae,Ceramiales,Ceramiaceae,Florideophyceae,Bornetia,ala,Marine,0
Plantae,Ceramiales,Ceramiaceae,Florideophyceae,Bornetia,dha,Marine,0
Plantae,Ceramiales,Ceramiaceae,Florideophyceae,Bornetia,epa,Marine,27.26
Plantae,Ceramiales,Ceramiaceae,Florideophyceae,Callithamnion,ala,Marine,3.5
Plantae,Ceramiales,Ceramiaceae,Florideophyceae,Callithamnion,dha,Marine,0
Plantae,Ceramiales,Ceramiaceae,Florideophyceae,Callithamnion,epa,Marine,43.4
Plantae,Ceramiales,Ceramiaceae,Florideophyceae,Ceramium,ala,Marine,0.633333333
Plantae,Ceramiales,Ceramiaceae,Florideophyceae,Ceramium,dha,Marine,0
Plantae,Ceramiales,Ceramiaceae,Florideophyceae,Ceramium,epa,Marine,21
Plantae,Ceramiales,Ceramiaceae,Florideophyceae,Ptilota,ala,Marine,0.4
Plantae,Ceramiales,Ceramiaceae,Florideophyceae,Ptilota,dha,Marine,0.6
Plantae,Ceramiales,Ceramiaceae,Florideophyceae,Ptilota,epa,Marine,9.4
Plantae,Ceramiales,Rhodomelaceae,Florideophyceae,Laurencia,ala,Marine,0.75
Plantae,Ceramiales,Rhodomelaceae,Florideophyceae,Laurencia,dha,Marine,0
Plantae,Ceramiales,Rhodomelaceae,Florideophyceae,Laurencia,epa,Marine,27.3
Plantae,Ceramiales,Rhodomelaceae,Florideophyceae,Polysiphonia,ala,Marine,0.733333333
Plantae,Ceramiales,Rhodomelaceae,Florideophyceae,Polysiphonia,dha,Marine,0
Plantae,Ceramiales,Rhodomelaceae,Florideophyceae,Polysiphonia,epa,Marine,34.36666667
Plantae,Ceramiales,Rhodomelaceae,Florideophyceae,Rhodomela,ala,Marine,5.8
Plantae,Ceramiales,Rhodomelaceae,Florideophyceae,Rhodomela,dha,Marine,0
Plantae,Ceramiales,Rhodomelaceae,Florideophyceae,Rhodomela,epa,Marine,24.8
Plantae,Ceramiales,Dasyaceae,Florideophyceae,Dasyopsis,ala,Marine,1.8
Plantae,Ceramiales,Dasyaceae,Florideophyceae,Dasyopsis,dha,Marine,0
Plantae,Ceramiales,Dasyaceae,Florideophyceae,Dasyopsis,epa,Marine,10
Plantae,Bryopsidales,Bryopsidaceae,Ulvophyceae,Bryopsis,ala,Marine,12.65
Plantae,Bryopsidales,Bryopsidaceae,Ulvophyceae,Bryopsis,dha,Marine,0
Plantae,Bryopsidales,Bryopsidaceae,Ulvophyceae,Bryopsis,epa,Marine,1.75
Plantae,Bryopsidales,Caulerpaceae,Ulvophyceae,Caulerpa,ala,Marine,11.77
Plantae,Bryopsidales,Caulerpaceae,Ulvophyceae,Caulerpa,dha,Marine,0
Plantae,Bryopsidales,Caulerpaceae,Ulvophyceae,Caulerpa,epa,Marine,4.43
Plantae,Bryopsidales,Codiaceae,Ulvophyceae,Codium,ala,Marine,9.1
Plantae,Bryopsidales,Codiaceae,Ulvophyceae,Codium,dha,Marine,0.033333333
Plantae,Bryopsidales,Codiaceae,Ulvophyceae,Codium,epa,Marine,1.76
Plantae,Corallinales,Corallinaceae,Florideophyceae,Corallina,ala,Marine,2.9
Plantae,Corallinales,Corallinaceae,Florideophyceae,Corallina,dha,Marine,0
Plantae,Corallinales,Corallinaceae,Florideophyceae,Corallina,epa,Marine,43.8
Plantae,Corallinales,Corallinaceae,Florideophyceae,Jania,ala,Marine,0
Plantae,Corallinales,Corallinaceae,Florideophyceae,Jania,dha,Marine,0
Plantae,Corallinales,Corallinaceae,Florideophyceae,Jania,epa,Marine,25.46
Plantae,Gelidiales,Gelidiaceae,Florideophyceae,Gelidium,ala,Marine,1.55
Plantae,Gelidiales,Gelidiaceae,Florideophyceae,Gelidium,dha,Marine,0
Plantae,Gelidiales,Gelidiaceae,Florideophyceae,Gelidium,epa,Marine,21.4
Plantae,Acrochaetiales,Acrochaetiaceae,Florideophyceae,Audouinella,ala,Marine,0
Plantae,Acrochaetiales,Acrochaetiaceae,Florideophyceae,Audouinella,dha,Marine,0
Plantae,Acrochaetiales,Acrochaetiaceae,Florideophyceae,Audouinella,epa,Marine,60.3
Plantae,Acrochaetiales,Acrochaetiaceae,Florideophyceae,Kylinia,ala,Marine,2.3
Plantae,Acrochaetiales,Acrochaetiaceae,Florideophyceae,Kylinia,dha,Marine,0
Plantae,Acrochaetiales,Acrochaetiaceae,Florideophyceae,Kylinia,epa,Marine,25.5
Plantae,Peyssonneliales,Peyssonneliaceae,Florideophyceae,Peyssonnelia,ala,Marine,0.55
Plantae,Peyssonneliales,Peyssonneliaceae,Florideophyceae,Peyssonnelia,dha,Marine,2.43
Plantae,Peyssonneliales,Peyssonneliaceae,Florideophyceae,Peyssonnelia,epa,Marine,21.46
Plantae,Ulotrichales,Ulotrichaceae,Ulvophyceae,Ulothrix,ala,Marine,9.3
Plantae,Ulotrichales,Ulotrichaceae,Ulvophyceae,Ulothrix,dha,Marine,0
Plantae,Ulotrichales,Ulotrichaceae,Ulvophyceae,Ulothrix,epa,Marine,5
Plantae,Ulotrichales,Ulotrichaceae,Ulvophyceae,Urospora,ala,Marine,5.6
Plantae,Ulotrichales,Ulotrichaceae,Ulvophyceae,Urospora,dha,Marine,0
Plantae,Ulotrichales,Ulotrichaceae,Ulvophyceae,Urospora,epa,Marine,0.8
Plantae,Gigartinales,Gigartinaceae,Florideophyceae,Chondrus,ala,Marine,1.55
Plantae,Gigartinales,Gigartinaceae,Florideophyceae,Chondrus,dha,Marine,0.15
Plantae,Gigartinales,Gigartinaceae,Florideophyceae,Chondrus,epa,Marine,13.35
Plantae,Gigartinales,Gigartinaceae,Florideophyceae,Gigartina,ala,Marine,0
Plantae,Gigartinales,Gigartinaceae,Florideophyceae,Gigartina,dha,Marine,0
Plantae,Gigartinales,Gigartinaceae,Florideophyceae,Gigartina,epa,Marine,25.2
Plantae,Gigartinales,Phyllophoraceae,Florideophyceae,Gymnogongrus,ala,Marine,0
Plantae,Gigartinales,Phyllophoraceae,Florideophyceae,Gymnogongrus,dha,Marine,0.5
Plantae,Gigartinales,Phyllophoraceae,Florideophyceae,Gymnogongrus,epa,Marine,44.3
Plantae,Gigartinales,Gloiosiphoniaceae,Florideophyceae,Gloiosiphonia,ala,Marine,1
Plantae,Gigartinales,Gloiosiphoniaceae,Florideophyceae,Gloiosiphonia,dha,Marine,0
Plantae,Gigartinales,Gloiosiphoniaceae,Florideophyceae,Gloiosiphonia,epa,Marine,3.6
Plantae,Gigartinales,Dumontiaceae,Florideophyceae,Hyalosiphonia,ala,Marine,1.2
Plantae,Gigartinales,Dumontiaceae,Florideophyceae,Hyalosiphonia,dha,Marine,0
Plantae,Gigartinales,Dumontiaceae,Florideophyceae,Hyalosiphonia,epa,Marine,12.5
Plantae,Gigartinales,Solieriaceae,Florideophyceae,Eucheuma,ala,Marine,3.88
Plantae,Gigartinales,Solieriaceae,Florideophyceae,Eucheuma,dha,Marine,0
Plantae,Gigartinales,Solieriaceae,Florideophyceae,Eucheuma,epa,Marine,24.98
Plantae,Gracilariales,Gracilariaceae,Florideophyceae,Gracilaria,ala,Marine,0.5
Plantae,Gracilariales,Gracilariaceae,Florideophyceae,Gracilaria,dha,Marine,0.2
Plantae,Gracilariales,Gracilariaceae,Florideophyceae,Gracilaria,epa,Marine,25.8
Plantae,Palmariales,Palmariaceae,Florideophyceae,Palmaria,ala,Marine,0.815
Plantae,Palmariales,Palmariaceae,Florideophyceae,Palmaria,dha,Marine,0.35
Plantae,Palmariales,Palmariaceae,Florideophyceae,Palmaria,epa,Marine,48.20833333
Plantae,Rhodymeniales,Rhodymeniaceae,Florideophyceae,Rhodymenia,ala,Marine,1.1
Plantae,Rhodymeniales,Rhodymeniaceae,Florideophyceae,Rhodymenia,dha,Marine,0
Plantae,Rhodymeniales,Rhodymeniaceae,Florideophyceae,Rhodymenia,epa,Marine,10.8
Plantae,Plocamiales,Plocamiaceae,Florideophyceae,Plocamium,ala,Marine,0
Plantae,Plocamiales,Plocamiaceae,Florideophyceae,Plocamium,dha,Marine,0
Plantae,Plocamiales,Plocamiaceae,Florideophyceae,Plocamium,epa,Marine,7.05
Plantae,Bonnemaisoniales,Bonnemaisoniaceae,Florideophyceae,Asparagopsis,ala,Marine,0
Plantae,Bonnemaisoniales,Bonnemaisoniaceae,Florideophyceae,Asparagopsis,dha,Marine,0
Plantae,Bonnemaisoniales,Bonnemaisoniaceae,Florideophyceae,Asparagopsis,epa,Marine,2.9
Plantae,Poales,Poaceae,Magnoliopsida,Agrostis,ala,Terrestrial,2
Plantae,Poales,Poaceae,Magnoliopsida,Alopecurus,ala,Terrestrial,1.4
Plantae,Poales,Poaceae,Magnoliopsida,Apera,ala,Terrestrial,1.7
Plantae,Poales,Poaceae,Magnoliopsida,Avena,ala,Terrestrial,NA
Plantae,Poales,Poaceae,Magnoliopsida,Avena,dha,Terrestrial,0
Plantae,Poales,Poaceae,Magnoliopsida,Avena,epa,Terrestrial,0
Plantae,Poales,Poaceae,Magnoliopsida,Bromus,ala,Terrestrial,10.05
Plantae,Poales,Poaceae,Magnoliopsida,Cynodon,ala,Terrestrial,6
Plantae,Poales,Poaceae,Magnoliopsida,Echinochloa,ala,Terrestrial,0.5
Plantae,Poales,Poaceae,Magnoliopsida,Lolium,ala,Terrestrial,4.05
Plantae,Poales,Poaceae,Magnoliopsida,Oryza,ala,Terrestrial,1.2
Plantae,Poales,Poaceae,Magnoliopsida,Panicum,ala,Terrestrial,1.68
Plantae,Poales,Poaceae,Magnoliopsida,Phleum,ala,Terrestrial,3.2
Plantae,Poales,Poaceae,Magnoliopsida,Phragmites,ala,Terrestrial,0.1
Plantae,Poales,Poaceae,Magnoliopsida,Phragmites,dha,Terrestrial,0
Plantae,Poales,Poaceae,Magnoliopsida,Phragmites,epa,Terrestrial,0
Plantae,Poales,Poaceae,Magnoliopsida,Poa,ala,Terrestrial,5.033333333
Plantae,Poales,Poaceae,Magnoliopsida,Setaria,ala,Terrestrial,2.533333333
Plantae,Poales,Poaceae,Magnoliopsida,Spartina,ala,Marine,50.9
Plantae,Poales,Poaceae,Magnoliopsida,Spartina,dha,Marine,0
Plantae,Poales,Poaceae,Magnoliopsida,Spartina,epa,Marine,0
Plantae,Poales,Poaceae,Magnoliopsida,Triticum,ala,Terrestrial,6.1
Plantae,Poales,Poaceae,Magnoliopsida,Zea,ala,Terrestrial,1.45
Plantae,Poales,Cyperaceae,Magnoliopsida,Cyperus,ala,Terrestrial,0.35
Plantae,Poales,Juncaceae,Magnoliopsida,Juncus,ala,Terrestrial,1.6
Plantae,Fagales,Betulaceae,Magnoliopsida,Alnus,ala,Terrestrial,17.3
Plantae,Fagales,Betulaceae,Magnoliopsida,Alnus,dha,Terrestrial,0
Plantae,Fagales,Betulaceae,Magnoliopsida,Alnus,epa,Terrestrial,0
Plantae,Fagales,Betulaceae,Magnoliopsida,Betula,ala,Terrestrial,16.5
Plantae,Fagales,Betulaceae,Magnoliopsida,Betula,dha,Terrestrial,0
Plantae,Fagales,Betulaceae,Magnoliopsida,Betula,epa,Terrestrial,0
Plantae,Fagales,Betulaceae,Magnoliopsida,Corylus,ala,Terrestrial,0.1
Plantae,Fagales,Juglandaceae,Magnoliopsida,Juglans,ala,Terrestrial,11.03
Plantae,Sapindales,Anacardiaceae,Magnoliopsida,Anacardium,ala,Terrestrial,8.75
Plantae,Sapindales,Anacardiaceae,Magnoliopsida,Pistacia,ala,Terrestrial,0.65
Plantae,Sapindales,Anacardiaceae,Magnoliopsida,Pistacia,dha,Terrestrial,0
Plantae,Sapindales,Anacardiaceae,Magnoliopsida,Pistacia,epa,Terrestrial,0
Plantae,Sapindales,Sapindaceae,Magnoliopsida,Acer,ala,Terrestrial,7.1
Plantae,Sapindales,Burseraceae,Magnoliopsida,Canarium,ala,Terrestrial,0.5
Plantae,Sapindales,Meliaceae,Magnoliopsida,Entandrophragma,ala,Terrestrial,0.3
Plantae,Cucurbitales,Cucurbitaceae,Magnoliopsida,Bryonia,ala,Terrestrial,35.3
Plantae,Cucurbitales,Cucurbitaceae,Magnoliopsida,Citrullus,ala,Terrestrial,0.175
Plantae,Cucurbitales,Cucurbitaceae,Magnoliopsida,Cucumis,ala,Terrestrial,0.2
Plantae,Lamiales,Lamiaceae,Magnoliopsida,Ajuga,ala,Terrestrial,17.4
Plantae,Lamiales,Lamiaceae,Magnoliopsida,Clinopodium,ala,Terrestrial,61.1
Plantae,Lamiales,Lamiaceae,Magnoliopsida,Lamium,ala,Terrestrial,13.9
Plantae,Lamiales,Lamiaceae,Magnoliopsida,Mentha,ala,Terrestrial,7.7
Plantae,Lamiales,Lamiaceae,Magnoliopsida,Perilla,ala,Terrestrial,54.64
Plantae,Lamiales,Lamiaceae,Magnoliopsida,Salvia,ala,Terrestrial,60.03333333
Plantae,Lamiales,Lamiaceae,Magnoliopsida,Satureja,ala,Terrestrial,57.5
Plantae,Lamiales,Lamiaceae,Magnoliopsida,Stachys,ala,Terrestrial,2.4
Plantae,Lamiales,Lamiaceae,Magnoliopsida,Teucrium,ala,Terrestrial,33.5
Plantae,Lamiales,Plantaginaceae,Magnoliopsida,Kickxia,ala,Terrestrial,0.3
Plantae,Lamiales,Plantaginaceae,Magnoliopsida,Linaria,ala,Terrestrial,1
Plantae,Lamiales,Plantaginaceae,Magnoliopsida,Misopates,ala,Terrestrial,0.4
Plantae,Lamiales,Plantaginaceae,Magnoliopsida,Plantago,ala,Terrestrial,27.562
Plantae,Lamiales,Plantaginaceae,Magnoliopsida,Plantago,dha,Terrestrial,0
Plantae,Lamiales,Plantaginaceae,Magnoliopsida,Plantago,epa,Terrestrial,0
Plantae,Lamiales,Plantaginaceae,Magnoliopsida,Veronica,ala,Terrestrial,1.533333333
Plantae,Lamiales,Orobanchaceae,Magnoliopsida,Melampyrum,ala,Terrestrial,16.4
Plantae,Lamiales,Orobanchaceae,Magnoliopsida,Odontites,ala,Terrestrial,53.6
Plantae,Lamiales,Orobanchaceae,Magnoliopsida,Rhinanthus,ala,Terrestrial,41.5
Plantae,Lamiales,Scrophulariaceae,Magnoliopsida,Verbascum,ala,Terrestrial,0.75
Plantae,Lamiales,Verbenaceae,Magnoliopsida,Verbena,ala,Terrestrial,46.38
Plantae,Lamiales,Pedaliaceae,Magnoliopsida,Sesamum,ala,Terrestrial,0.4
Plantae,Brassicales,Brassicaceae,Magnoliopsida,Alliaria,ala,Terrestrial,28
Plantae,Brassicales,Brassicaceae,Magnoliopsida,Alliaria,dha,Terrestrial,0
Plantae,Brassicales,Brassicaceae,Magnoliopsida,Alliaria,epa,Terrestrial,0
Plantae,Brassicales,Brassicaceae,Magnoliopsida,Arabidopsis,ala,Terrestrial,39.35
Plantae,Brassicales,Brassicaceae,Magnoliopsida,Barbarea,ala,Terrestrial,9.65
Plantae,Brassicales,Brassicaceae,Magnoliopsida,Brassica,ala,Terrestrial,11.39625
Plantae,Brassicales,Brassicaceae,Magnoliopsida,Brassica,dha,Terrestrial,0.7075
Plantae,Brassicales,Brassicaceae,Magnoliopsida,Brassica,epa,Terrestrial,0.2525
Plantae,Brassicales,Brassicaceae,Magnoliopsida,Calepina,ala,Terrestrial,25.4
Plantae,Brassicales,Brassicaceae,Magnoliopsida,Camelina,ala,Terrestrial,41.45
Plantae,Brassicales,Brassicaceae,Magnoliopsida,Capsella,ala,Terrestrial,33.7
Plantae,Brassicales,Brassicaceae,Magnoliopsida,Capsella,dha,Terrestrial,0
Plantae,Brassicales,Brassicaceae,Magnoliopsida,Capsella,epa,Terrestrial,0
Plantae,Brassicales,Brassicaceae,Magnoliopsida,Cardamine,ala,Terrestrial,3.8
Plantae,Brassicales,Brassicaceae,Magnoliopsida,Crambe,ala,Terrestrial,4.8
Plantae,Brassicales,Brassicaceae,Magnoliopsida,Diplotaxis,ala,Terrestrial,19.6
Plantae,Brassicales,Brassicaceae,Magnoliopsida,Diplotaxis,dha,Terrestrial,0
Plantae,Brassicales,Brassicaceae,Magnoliopsida,Diplotaxis,epa,Terrestrial,0
Plantae,Brassicales,Brassicaceae,Magnoliopsida,Eruca,ala,Terrestrial,12.3
Plantae,Brassicales,Brassicaceae,Magnoliopsida,Eruca,dha,Terrestrial,0
Plantae,Brassicales,Brassicaceae,Magnoliopsida,Eruca,epa,Terrestrial,0
Plantae,Brassicales,Brassicaceae,Magnoliopsida,Lepidium,ala,Terrestrial,35.7
Plantae,Brassicales,Brassicaceae,Magnoliopsida,Matthiola,ala,Terrestrial,43.9
Plantae,Brassicales,Brassicaceae,Magnoliopsida,Myagrum,ala,Terrestrial,29.2
Plantae,Brassicales,Brassicaceae,Magnoliopsida,Neslia,ala,Terrestrial,10
Plantae,Brassicales,Brassicaceae,Magnoliopsida,Sinapis,ala,Terrestrial,11.8
Plantae,Brassicales,Brassicaceae,Magnoliopsida,Sisymbrium,ala,Terrestrial,37.6
Plantae,Brassicales,Brassicaceae,Magnoliopsida,Sisymbrium,dha,Terrestrial,0
Plantae,Brassicales,Brassicaceae,Magnoliopsida,Sisymbrium,epa,Terrestrial,0
Plantae,Brassicales,Brassicaceae,Magnoliopsida,Thlaspi,ala,Terrestrial,8.2
Plantae,Brassicales,Resedaceae,Magnoliopsida,Reseda,ala,Terrestrial,4
Plantae,Malvales,Malvaceae,Magnoliopsida,Abutilon,ala,Terrestrial,5.6
Plantae,Malvales,Malvaceae,Magnoliopsida,Adansonia,ala,Terrestrial,2.33
Plantae,Malvales,Malvaceae,Magnoliopsida,Althaea,ala,Terrestrial,1.5
Plantae,Malvales,Malvaceae,Magnoliopsida,Hibiscus,ala,Terrestrial,0.7
Plantae,Malvales,Malvaceae,Magnoliopsida,Malva,ala,Terrestrial,21.55
Plantae,Malvales,Malvaceae,Magnoliopsida,Malva,dha,Terrestrial,0
Plantae,Malvales,Malvaceae,Magnoliopsida,Malva,epa,Terrestrial,0
Plantae,Malvales,Malvaceae,Magnoliopsida,Theobroma,ala,Terrestrial,0.2
Plantae,Ranunculales,Ranunculaceae,Magnoliopsida,Adonis,ala,Terrestrial,1.9
