ecosystem,habitat,notes,trophic_position,organ,species,genus,species1,phylum,class,order,family,original_study,name_of_data_extractor,study_number,date_data_extracted,data_from,reference,reference_notes,source,common_name,dha,epa,ala,fa_id
Freshwater,NA,NA,Producer,NA,Scenedesmus_quadricauda,Scenedesmus,quadricauda,Chlorophyta,Chlorophyceae,Sphaeropleales,NA,Ahlgren1992,NA,7,NA,Galloway and Winder 2015,"Ahlgren, G., Zeipel, K., & Gustafsson, I. B. (1998). Phosphorus limitation effects on the fatty acid content and nutritional quality of a green alga and a diatom. Internationale Vereinigung für theoretische und angewandte Limnologie: Verhandlungen, 26(4), 1659-1664.",,NA,NA,0,0,2.180454512,206
Freshwater,NA,NA,Producer,NA,Scenedesmus_acutus,Scenedesmus,acutus,Chlorophyta,Chlorophyceae,Sphaeropleales,NA,Ahlgren1992,NA,7,NA,Galloway and Winder 2015,"Ahlgren, G., Zeipel, K., & Gustafsson, I. B. (1998). Phosphorus limitation effects on the fatty acid content and nutritional quality of a green alga and a diatom. Internationale Vereinigung für theoretische und angewandte Limnologie: Verhandlungen, 26(4), 1659-1664.",,NA,NA,0,0,2.046815737,207
Freshwater,NA,NA,Producer,NA,Scenedesmus_acutus,Scenedesmus,acutus,Chlorophyta,Chlorophyceae,Sphaeropleales,NA,Ahlgren1992,NA,7,NA,Galloway and Winder 2015,"Ahlgren, G., Zeipel, K., & Gustafsson, I. B. (1998). Phosphorus limitation effects on the fatty acid content and nutritional quality of a green alga and a diatom. Internationale Vereinigung für theoretische und angewandte Limnologie: Verhandlungen, 26(4), 1659-1664.",,NA,NA,0,7.17E-03,1.57017242,208
Freshwater,NA,NA,Producer,NA,Chlorella_homosphaera,Chlorella,homosphaera,Chlorophyta,Trebouxiophyceae,Chlorellales,NA,Ahlgren1992,NA,7,NA,Galloway and Winder 2015,"Ahlgren, G., Zeipel, K., & Gustafsson, I. B. (1998). Phosphorus limitation effects on the fatty acid content and nutritional quality of a green alga and a diatom. Internationale Vereinigung für theoretische und angewandte Limnologie: Verhandlungen, 26(4), 1659-1664.",,NA,NA,0,0.130660462,24.20261321,272
Freshwater,NA,NA,Producer,NA,Chlorella_homosphaera,Chlorella,homosphaera,Chlorophyta,Trebouxiophyceae,Chlorellales,NA,Ahlgren1992,NA,7,NA,Galloway and Winder 2015,"Ahlgren, G., Zeipel, K., & Gustafsson, I. B. (1998). Phosphorus limitation effects on the fatty acid content and nutritional quality of a green alga and a diatom. Internationale Vereinigung für theoretische und angewandte Limnologie: Verhandlungen, 26(4), 1659-1664.",,NA,NA,0,7.93E-03,1.469098622,273
Freshwater,NA,NA,Producer,NA,Cryptomonas_sp,Cryptomonas,sp,Cryptophyta,Cryptophyceae,Cryptomonadales,NA,Ahlgren1992,NA,7,NA,Galloway and Winder 2015,"Ahlgren, G., Zeipel, K., & Gustafsson, I. B. (1998). Phosphorus limitation effects on the fatty acid content and nutritional quality of a green alga and a diatom. Internationale Vereinigung für theoretische und angewandte Limnologie: Verhandlungen, 26(4), 1659-1664.",,NA,NA,4.52155002,12.78173191,8.8533017,285
Freshwater,NA,NA,Producer,NA,Rhodomonas_lacustris,Rhodomonas,lacustris,Cryptophyta,Cryptophyceae,Pyrenomonadales,NA,Ahlgren1992,NA,7,NA,Galloway and Winder 2015,"Ahlgren, G., Zeipel, K., & Gustafsson, I. B. (1998). Phosphorus limitation effects on the fatty acid content and nutritional quality of a green alga and a diatom. Internationale Vereinigung für theoretische und angewandte Limnologie: Verhandlungen, 26(4), 1659-1664.",,NA,NA,4.534828244,15.7168416,21.86545802,286
Freshwater,NA,NA,Producer,NA,Cryptomonas_sp,Cryptomonas,sp,Cryptophyta,Cryptophyceae,Cryptomonadales,NA,Ahlgren1992,NA,7,NA,Galloway and Winder 2015,"Ahlgren, G., Zeipel, K., & Gustafsson, I. B. (1998). Phosphorus limitation effects on the fatty acid content and nutritional quality of a green alga and a diatom. Internationale Vereinigung für theoretische und angewandte Limnologie: Verhandlungen, 26(4), 1659-1664.",,NA,NA,0.296161526,0.83720344,0.579891261,287
Freshwater,NA,NA,Producer,NA,Rhodomonas_lacustris,Rhodomonas,lacustris,Cryptophyta,Cryptophyceae,Pyrenomonadales,NA,Ahlgren1992,NA,7,NA,Galloway and Winder 2015,"Ahlgren, G., Zeipel, K., & Gustafsson, I. B. (1998). Phosphorus limitation effects on the fatty acid content and nutritional quality of a green alga and a diatom. Internationale Vereinigung für theoretische und angewandte Limnologie: Verhandlungen, 26(4), 1659-1664.",,NA,NA,0.423099475,1.466381322,2.040047233,288
Freshwater,NA,NA,Producer,NA,Oscillatoria_agardhii,Oscillatoria,agardhii,Cyanobacteria,Cyanophyceae,Oscillatoriales,NA,Ahlgren1992,NA,7,NA,Galloway and Winder 2015,"Ahlgren, G., Zeipel, K., & Gustafsson, I. B. (1998). Phosphorus limitation effects on the fatty acid content and nutritional quality of a green alga and a diatom. Internationale Vereinigung für theoretische und angewandte Limnologie: Verhandlungen, 26(4), 1659-1664.",,NA,NA,0,0,26.02676274,319
Freshwater,NA,NA,Producer,NA,Oscillatoria_agardhii,Oscillatoria,agardhii,Cyanobacteria,Cyanophyceae,Oscillatoriales,NA,Ahlgren1992,NA,7,NA,Galloway and Winder 2015,"Ahlgren, G., Zeipel, K., & Gustafsson, I. B. (1998). Phosphorus limitation effects on the fatty acid content and nutritional quality of a green alga and a diatom. Internationale Vereinigung für theoretische und angewandte Limnologie: Verhandlungen, 26(4), 1659-1664.",,NA,NA,0,0,19.60486322,320
Freshwater,NA,NA,Producer,NA,Microcystis_aeruginosa,Microcystis,aeruginosa,Cyanobacteria,Cyanophyceae,Chroococcales,NA,Ahlgren1992,NA,7,NA,Galloway and Winder 2015,"Ahlgren, G., Zeipel, K., & Gustafsson, I. B. (1998). Phosphorus limitation effects on the fatty acid content and nutritional quality of a green alga and a diatom. Internationale Vereinigung für theoretische und angewandte Limnologie: Verhandlungen, 26(4), 1659-1664.",,NA,NA,0,0,8.364587876,321
Freshwater,NA,NA,Producer,NA,Microcystis_aeruginosa,Microcystis,aeruginosa,Cyanobacteria,Cyanophyceae,Chroococcales,NA,Ahlgren1992,NA,7,NA,Galloway and Winder 2015,"Ahlgren, G., Zeipel, K., & Gustafsson, I. B. (1998). Phosphorus limitation effects on the fatty acid content and nutritional quality of a green alga and a diatom. Internationale Vereinigung für theoretische und angewandte Limnologie: Verhandlungen, 26(4), 1659-1664.",,NA,NA,0,0,8.698720776,322
Freshwater,NA,NA,Producer,NA,Microcystis_aeruginosa,Microcystis,aeruginosa,Cyanobacteria,Cyanophyceae,Chroococcales,NA,Ahlgren1992,NA,7,NA,Galloway and Winder 2015,"Ahlgren, G., Zeipel, K., & Gustafsson, I. B. (1998). Phosphorus limitation effects on the fatty acid content and nutritional quality of a green alga and a diatom. Internationale Vereinigung für theoretische und angewandte Limnologie: Verhandlungen, 26(4), 1659-1664.",,NA,NA,0,0.759202454,7.147239264,323
Freshwater,NA,NA,Producer,NA,Anabaena_sp,Anabaena,sp,Cyanobacteria,Cyanophyceae,Nostocales,NA,Ahlgren1992,NA,7,NA,Galloway and Winder 2015,"Ahlgren, G., Zeipel, K., & Gustafsson, I. B. (1998). Phosphorus limitation effects on the fatty acid content and nutritional quality of a green alga and a diatom. Internationale Vereinigung für theoretische und angewandte Limnologie: Verhandlungen, 26(4), 1659-1664.",,NA,NA,0,0.40521978,1.394230769,324
Freshwater,NA,NA,Producer,NA,Spirulina_sp,Spirulina,sp,Cyanobacteria,Cyanophyceae,Chroococcales,NA,Ahlgren1992,NA,7,NA,Galloway and Winder 2015,"Ahlgren, G., Zeipel, K., & Gustafsson, I. B. (1998). Phosphorus limitation effects on the fatty acid content and nutritional quality of a green alga and a diatom. Internationale Vereinigung für theoretische und angewandte Limnologie: Verhandlungen, 26(4), 1659-1664.",,NA,NA,0,0,0,325
Freshwater,NA,NA,Producer,NA,Spirulina_sp,Spirulina,sp,Cyanobacteria,Cyanophyceae,Chroococcales,NA,Ahlgren1992,NA,7,NA,Galloway and Winder 2015,"Ahlgren, G., Zeipel, K., & Gustafsson, I. B. (1998). Phosphorus limitation effects on the fatty acid content and nutritional quality of a green alga and a diatom. Internationale Vereinigung für theoretische und angewandte Limnologie: Verhandlungen, 26(4), 1659-1664.",,NA,NA,0,0,0,326
Freshwater,NA,NA,Producer,NA,Spirulina_sp,Spirulina,sp,Cyanobacteria,Cyanophyceae,Chroococcales,NA,Ahlgren1992,NA,7,NA,Galloway and Winder 2015,"Ahlgren, G., Zeipel, K., & Gustafsson, I. B. (1998). Phosphorus limitation effects on the fatty acid content and nutritional quality of a green alga and a diatom. Internationale Vereinigung für theoretische und angewandte Limnologie: Verhandlungen, 26(4), 1659-1664.",,NA,NA,0,0,0,327
Freshwater,NA,NA,Producer,NA,Nostoc_muscorum,Nostoc,muscorum,Cyanobacteria,Cyanophyceae,Nostocales,NA,Ahlgren1992,NA,7,NA,Galloway and Winder 2015,"Ahlgren, G., Zeipel, K., & Gustafsson, I. B. (1998). Phosphorus limitation effects on the fatty acid content and nutritional quality of a green alga and a diatom. Internationale Vereinigung für theoretische und angewandte Limnologie: Verhandlungen, 26(4), 1659-1664.",,NA,NA,0,0,2.075996293,328
Freshwater,NA,NA,Producer,NA,Oscillatoria_agardhii,Oscillatoria,agardhii,Cyanobacteria,Cyanophyceae,Oscillatoriales,NA,Ahlgren1992,NA,7,NA,Galloway and Winder 2015,"Ahlgren, G., Zeipel, K., & Gustafsson, I. B. (1998). Phosphorus limitation effects on the fatty acid content and nutritional quality of a green alga and a diatom. Internationale Vereinigung für theoretische und angewandte Limnologie: Verhandlungen, 26(4), 1659-1664.",,NA,NA,0,0,1.152985589,329
Freshwater,NA,NA,Producer,NA,Oscillatoria_agardhii,Oscillatoria,agardhii,Cyanobacteria,Cyanophyceae,Oscillatoriales,NA,Ahlgren1992,NA,7,NA,Galloway and Winder 2015,"Ahlgren, G., Zeipel, K., & Gustafsson, I. B. (1998). Phosphorus limitation effects on the fatty acid content and nutritional quality of a green alga and a diatom. Internationale Vereinigung für theoretische und angewandte Limnologie: Verhandlungen, 26(4), 1659-1664.",,NA,NA,0,0,0.276428571,330
Freshwater,NA,NA,Producer,NA,Microcystis_aeruginosa,Microcystis,aeruginosa,Cyanobacteria,Cyanophyceae,Chroococcales,NA,Ahlgren1992,NA,7,NA,Galloway and Winder 2015,"Ahlgren, G., Zeipel, K., & Gustafsson, I. B. (1998). Phosphorus limitation effects on the fatty acid content and nutritional quality of a green alga and a diatom. Internationale Vereinigung für theoretische und angewandte Limnologie: Verhandlungen, 26(4), 1659-1664.",,NA,NA,0,0,0.208278238,331
Freshwater,NA,NA,Producer,NA,Microcystis_aeruginosa,Microcystis,aeruginosa,Cyanobacteria,Cyanophyceae,Chroococcales,NA,Ahlgren1992,NA,7,NA,Galloway and Winder 2015,"Ahlgren, G., Zeipel, K., & Gustafsson, I. B. (1998). Phosphorus limitation effects on the fatty acid content and nutritional quality of a green alga and a diatom. Internationale Vereinigung für theoretische und angewandte Limnologie: Verhandlungen, 26(4), 1659-1664.",,NA,NA,0,0,0.207029554,332
Freshwater,NA,NA,Producer,NA,Microcystis_aeruginosa,Microcystis,aeruginosa,Cyanobacteria,Cyanophyceae,Chroococcales,NA,Ahlgren1992,NA,7,NA,Galloway and Winder 2015,"Ahlgren, G., Zeipel, K., & Gustafsson, I. B. (1998). Phosphorus limitation effects on the fatty acid content and nutritional quality of a green alga and a diatom. Internationale Vereinigung für theoretische und angewandte Limnologie: Verhandlungen, 26(4), 1659-1664.",,NA,NA,0,1.17E-02,0.110067485,333
Freshwater,NA,NA,Producer,NA,Anabaena_sp,Anabaena,sp,Cyanobacteria,Cyanophyceae,Nostocales,NA,Ahlgren1992,NA,7,NA,Galloway and Winder 2015,"Ahlgren, G., Zeipel, K., & Gustafsson, I. B. (1998). Phosphorus limitation effects on the fatty acid content and nutritional quality of a green alga and a diatom. Internationale Vereinigung für theoretische und angewandte Limnologie: Verhandlungen, 26(4), 1659-1664.",,NA,NA,0,6.40E-03,2.20E-02,334
Freshwater,NA,NA,Producer,NA,Spirulina_sp,Spirulina,sp,Cyanobacteria,Cyanophyceae,Chroococcales,NA,Ahlgren1992,NA,7,NA,Galloway and Winder 2015,"Ahlgren, G., Zeipel, K., & Gustafsson, I. B. (1998). Phosphorus limitation effects on the fatty acid content and nutritional quality of a green alga and a diatom. Internationale Vereinigung für theoretische und angewandte Limnologie: Verhandlungen, 26(4), 1659-1664.",,NA,NA,0,0,0,335
Freshwater,NA,NA,Producer,NA,Spirulina_sp,Spirulina,sp,Cyanobacteria,Cyanophyceae,Chroococcales,NA,Ahlgren1992,NA,7,NA,Galloway and Winder 2015,"Ahlgren, G., Zeipel, K., & Gustafsson, I. B. (1998). Phosphorus limitation effects on the fatty acid content and nutritional quality of a green alga and a diatom. Internationale Vereinigung für theoretische und angewandte Limnologie: Verhandlungen, 26(4), 1659-1664.",,NA,NA,0,0,0,336
Freshwater,NA,NA,Producer,NA,Spirulina_sp,Spirulina,sp,Cyanobacteria,Cyanophyceae,Chroococcales,NA,Ahlgren1992,NA,7,NA,Galloway and Winder 2015,"Ahlgren, G., Zeipel, K., & Gustafsson, I. B. (1998). Phosphorus limitation effects on the fatty acid content and nutritional quality of a green alga and a diatom. Internationale Vereinigung für theoretische und angewandte Limnologie: Verhandlungen, 26(4), 1659-1664.",,NA,NA,0,0,0,337
Freshwater,NA,NA,Producer,NA,Nostoc_muscorum,Nostoc,muscorum,Cyanobacteria,Cyanophyceae,Nostocales,NA,Ahlgren1992,NA,7,NA,Galloway and Winder 2015,"Ahlgren, G., Zeipel, K., & Gustafsson, I. B. (1998). Phosphorus limitation effects on the fatty acid content and nutritional quality of a green alga and a diatom. Internationale Vereinigung für theoretische und angewandte Limnologie: Verhandlungen, 26(4), 1659-1664.",,NA,NA,0,0,2.41E-02,338
Freshwater,NA,NA,Producer,NA,Peridinium_cinctum,Peridinium,cinctum,Dinophyta,Dinophyceae,Peridinales,NA,Ahlgren1992,NA,7,NA,Galloway and Winder 2015,"Ahlgren, G., Zeipel, K., & Gustafsson, I. B. (1998). Phosphorus limitation effects on the fatty acid content and nutritional quality of a green alga and a diatom. Internationale Vereinigung für theoretische und angewandte Limnologie: Verhandlungen, 26(4), 1659-1664.",,NA,NA,11.94169144,8.453088867,0.25024777,393
Freshwater,NA,NA,Producer,NA,Peridiniopsis_borgei,Peridiniopsis,borgei,Dinophyta,Dinophyceae,Thoracosphaerales,NA,Ahlgren1992,NA,7,NA,Galloway and Winder 2015,"Ahlgren, G., Zeipel, K., & Gustafsson, I. B. (1998). Phosphorus limitation effects on the fatty acid content and nutritional quality of a green alga and a diatom. Internationale Vereinigung für theoretische und angewandte Limnologie: Verhandlungen, 26(4), 1659-1664.",,NA,NA,15.86662472,11.20478138,0,394
Freshwater,NA,NA,Producer,NA,Peridinium_cinctum,Peridinium,cinctum,Dinophyta,Dinophyceae,Peridinales,NA,Ahlgren1992,NA,7,NA,Galloway and Winder 2015,"Ahlgren, G., Zeipel, K., & Gustafsson, I. B. (1998). Phosphorus limitation effects on the fatty acid content and nutritional quality of a green alga and a diatom. Internationale Vereinigung für theoretische und angewandte Limnologie: Verhandlungen, 26(4), 1659-1664.",,NA,NA,1.56316741,1.106509333,3.28E-02,395
Freshwater,NA,NA,Producer,NA,Peridiniopsis_borgei,Peridiniopsis,borgei,Dinophyta,Dinophyceae,Thoracosphaerales,NA,Ahlgren1992,NA,7,NA,Galloway and Winder 2015,"Ahlgren, G., Zeipel, K., & Gustafsson, I. B. (1998). Phosphorus limitation effects on the fatty acid content and nutritional quality of a green alga and a diatom. Internationale Vereinigung für theoretische und angewandte Limnologie: Verhandlungen, 26(4), 1659-1664.",,NA,NA,0.536291916,0.378721611,0,396
Freshwater,NA,NA,Producer,NA,Chromulina_chinophila,Chromulina,chinophila,Ochrophyta,Chrysophyceae,Chromulinales,NA,Ahlgren1992,NA,7,NA,Galloway and Winder 2015,"Ahlgren, G., Zeipel, K., & Gustafsson, I. B. (1998). Phosphorus limitation effects on the fatty acid content and nutritional quality of a green alga and a diatom. Internationale Vereinigung für theoretische und angewandte Limnologie: Verhandlungen, 26(4), 1659-1664.",,NA,NA,4.127628181,0,4.253043158,399
Freshwater,NA,NA,Producer,NA,Chromulina_chinophila,Chromulina,chinophila,Ochrophyta,Chrysophyceae,Chromulinales,NA,Ahlgren1992,NA,7,NA,Galloway and Winder 2015,"Ahlgren, G., Zeipel, K., & Gustafsson, I. B. (1998). Phosphorus limitation effects on the fatty acid content and nutritional quality of a green alga and a diatom. Internationale Vereinigung für theoretische und angewandte Limnologie: Verhandlungen, 26(4), 1659-1664.",,NA,NA,0.378503504,0,0.390004058,400
Terrestrial,NA,NA,Producer,NA,Ctenidium_molluscum,Ctenidium,molluscum,NA,NA,NA,NA,Al-Hassan et al 1991 (Bryologist),Lily,5,NA,Twining et al 2016,"Al-Hasan, R. H., El-Saadawi, W. E., Ali, A. M., & Radwan, S. S. (1989). Arachidonic and eicosapentaenoic acids in lipids of Bryum bicolor dicks. Effects of controlled temperature and illumination. Bryologist, 178-182.",,NA,Moss,0,5.3,12.6,3957
Terrestrial,NA,NA,Producer,NA,Ctenidium_molluscum,Ctenidium,molluscum,NA,NA,NA,NA,Al-Hassan et al 1991 (Bryologist),Lily,5,NA,Twining et al 2016,"Al-Hasan, R. H., El-Saadawi, W. E., Ali, A. M., & Radwan, S. S. (1989). Arachidonic and eicosapentaenoic acids in lipids of Bryum bicolor dicks. Effects of controlled temperature and illumination. Bryologist, 178-182.",,NA,Moss,0,2.6,6.3,3958
Terrestrial,NA,NA,Producer,NA,Ctenidium_molluscum,Ctenidium,molluscum,NA,NA,NA,NA,Al-Hassan et al 1991 (Bryologist),Lily,5,NA,Twining et al 2016,"Al-Hasan, R. H., El-Saadawi, W. E., Ali, A. M., & Radwan, S. S. (1989). Arachidonic and eicosapentaenoic acids in lipids of Bryum bicolor dicks. Effects of controlled temperature and illumination. Bryologist, 178-182.",,NA,Moss,0,5,7.8,3959
Terrestrial,NA,NA,Producer,NA,Pogonatum_urnigerum,Pogonatum,urnigerum,NA,NA,NA,NA,Al-Hassan et al 1991 (Bryologist),Lily,5,NA,Twining et al 2016,"Al-Hasan, R. H., El-Saadawi, W. E., Ali, A. M., & Radwan, S. S. (1989). Arachidonic and eicosapentaenoic acids in lipids of Bryum bicolor dicks. Effects of controlled temperature and illumination. Bryologist, 178-182.",,NA,Moss,0,0.4,5.6,3960
Terrestrial,NA,NA,Producer,NA,Pogonatum_urnigerum,Pogonatum,urnigerum,NA,NA,NA,NA,Al-Hassan et al 1991 (Bryologist),Lily,5,NA,Twining et al 2016,"Al-Hasan, R. H., El-Saadawi, W. E., Ali, A. M., & Radwan, S. S. (1989). Arachidonic and eicosapentaenoic acids in lipids of Bryum bicolor dicks. Effects of controlled temperature and illumination. Bryologist, 178-182.",,NA,Moss,0,0.3,4.5,3961
Terrestrial,NA,NA,Producer,NA,Pogonatum_urnigerum,Pogonatum,urnigerum,NA,NA,NA,NA,Al-Hassan et al 1991 (Bryologist),Lily,5,NA,Twining et al 2016,"Al-Hasan, R. H., El-Saadawi, W. E., Ali, A. M., & Radwan, S. S. (1989). Arachidonic and eicosapentaenoic acids in lipids of Bryum bicolor dicks. Effects of controlled temperature and illumination. Bryologist, 178-182.",,NA,Moss,0,3.9,9.3,3962
Terrestrial,NA,NA,Producer,NA,Dichodontium_pellucidum,Dichodontium,pellucidum,NA,NA,NA,NA,Al-Hassan et al 1991 (Bryologist),Lily,5,NA,Twining et al 2016,"Al-Hasan, R. H., El-Saadawi, W. E., Ali, A. M., & Radwan, S. S. (1989). Arachidonic and eicosapentaenoic acids in lipids of Bryum bicolor dicks. Effects of controlled temperature and illumination. Bryologist, 178-182.",,NA,Moss,0,1.1,29,3963
Terrestrial,NA,NA,Producer,NA,Dichodontium_pellucidum,Dichodontium,pellucidum,NA,NA,NA,NA,Al-Hassan et al 1991 (Bryologist),Lily,5,NA,Twining et al 2016,"Al-Hasan, R. H., El-Saadawi, W. E., Ali, A. M., & Radwan, S. S. (1989). Arachidonic and eicosapentaenoic acids in lipids of Bryum bicolor dicks. Effects of controlled temperature and illumination. Bryologist, 178-182.",,NA,Moss,0,2.2,17.9,3964
Terrestrial,NA,NA,Producer,NA,Dichodontium_pellucidum,Dichodontium,pellucidum,NA,NA,NA,NA,Al-Hassan et al 1991 (Bryologist),Lily,5,NA,Twining et al 2016,"Al-Hasan, R. H., El-Saadawi, W. E., Ali, A. M., & Radwan, S. S. (1989). Arachidonic and eicosapentaenoic acids in lipids of Bryum bicolor dicks. Effects of controlled temperature and illumination. Bryologist, 178-182.",,NA,Moss,0,1.9,15,3965
