Source ecosystem,ID,Taxa,Phyto Class,18:3n3,20:5n3,22:6n3,Study
Freshwater,Algae etc,Microbial Mat,Mix,0.031,0.000,n/a,Boechat et al 2011 (FEMS Micro)
Freshwater,Algae etc,Microbial Mat,Mix,0.042,0.010,n/a,Boechat et al 2011 (FEMS Micro)
Freshwater,Algae etc,Periphyton,Mix,8.010,7.160,1.070,Volk and Kiffney 2012 (Aquatic Ecology)
Freshwater,Algae etc,Periphyton,Mix,1.500,22.600,0.7,Hill et al 2011 (Freshwater Bio)
Freshwater,Algae etc,Periphyton,Mix,0.500,20.400,0.6,Hill et al 2011 (Freshwater Bio)
Freshwater,Algae etc,Periphyton,Mix,0.300,13.200,0.6,Hill et al 2011 (Freshwater Bio)
Freshwater,Algae etc,Periphyton,Mix,1.600,24.900,0.8,Hill et al 2011 (Freshwater Bio)
Freshwater,Algae etc,Periphyton,Mix,1.000,27.500,1.3,Hill et al 2011 (Freshwater Bio)
Freshwater,Algae etc,Periphyton,Mix,0.400,25.900,2.7,Hill et al 2011 (Freshwater Bio)
Freshwater,Algae etc,Periphyton,Mix,,4.700,0,Napolitano et al 1996 (Archiv fur Hydrobiologie)
Freshwater,Algae etc,Periphyton,Mix,16.100,1.800,0,Napolitano et al 1996 (Archiv fur Hydrobiologie)
Freshwater,Algae etc,Periphyton,Mix,14.500,1.000,0,Napolitano et al 1996 (Archiv fur Hydrobiologie)
Freshwater,Algae etc,Periphyton,Mix,in graph,4.700,0,Napolitano et al 1996 (Archiv fur Hydrobiologie)
Freshwater,Algae etc,Periphyton,Mix,16.100,1.800,0,Napolitano et al 1996 (Archiv fur Hydrobiologie)
Freshwater,Algae etc,Periphyton,Mix,14.500,1.000,0,Napolitano et al 1996 (Archiv fur Hydrobiologie)
Freshwater,Algae etc,Periphyton,Mix,10.61,14.06,0.41,Napolitano et al 1994 (JNABS)
Freshwater,Algae,Isochrysis galbana,Prymnesiophyceae,0.128814542,0.015361683,0.091631816,Wacker et al 2002 (L&O)
Freshwater,Algae,Pseudomonas,Pseudomonadaceae,0,0,0,Wenzel et al. 2012 (Fresh Biol)
Freshwater,Algae,Chlorella minutissma,Trebouxiophyceae,0.438846894,0,0,Wacker et al 2002 (L&O)
Freshwater,Algae,Lab Chlorella homosphaera,Trebouxiophyceae,13.522,0.073,0,Ahlgren et al 1992 (J Phycol)
Freshwater,Algae,Tribonema,Xanthophyceae,0.000,0.256,0,Patil et al 2007 (Aquaculture International)
Marine,Algae,Chaetoceros calcitrans,Bacillariophyceae,0.000,11.100,0.800,Volkman et al 1989 (J Exp Mar Biol Ecol)
Marine,Algae,Chaetoceros gracilis,Bacillariophyceae,0.000,5.15,0.350,Volkman et al 1989 (J Exp Mar Biol Ecol)
Marine,Algae,Phaeodactylum tricornutum,Bacillariophyceae,0.003,0.306,0.002152853,Patil et al 2007 (Aquaculture International)
Marine,Algae,Skeletonema costatum,Bacillariophyceae,0.300,6.000,2.000,Volkman et al 1989 (J Exp Mar Biol Ecol)
Marine,Algae,Thalassiosira oceanica,Bacillariophyceae,0.4,26.2,4.3,Chen et al. 2011 (L&O)
Marine,Algae,Thalassiosira oceanica,Bacillariophyceae,4.4,25.5,9.4,Chen et al. 2011 (L&O)
Marine,Algae,Thalassiosira pseudonana,Bacillariophyceae,0.100,19.300,3.900,Volkman et al 1989 (J Exp Mar Biol Ecol)
Marine,Algae,Thalassiosira weissflogii,Bacillariophyceae,1.5,8.43,1.88,Arendt et al 2005 (Marine Biology)
Marine,Algae,Thalassiosira weissflogii,Bacillariophyceae,1.2,30,5.1,Chen et al. 2012 (MEPS)
Marine,Algae,Tetraselmis suecica,Chlorodendraceae,7.85,4.8,0.000,Volkman et al 1989 (J Exp Mar Biol Ecol)
Marine,Algae,Dunaliella sp,Chlorophyceae,42.7,0,0,Chen et al. 2012 (MEPS)
Marine,Algae,Dunaliella tertiolecta,Chlorophyceae,25.1,0,0,Chu et al. 2008 (MEPS)
Marine,Algae,Dunaliella tertiolecta,Chlorophyceae,22.62,0.02,0,Arendt et al 2005 (Marine Biology)
Marine,Algae,Dunaliella tertiolecta,Chlorophyceae,43.500,0.000,0.000,Volkman et al 1989 (J Exp Mar Biol Ecol)
Marine,Algae,Nannochloris atomus,Chlorophyceae,21.700,3.200,0.000,Volkman et al 1989 (J Exp Mar Biol Ecol)
Marine,Algae,Enteromorpha intestinalis,Chlorophyceae,15.5,1,0,Fleurance et al. 1994 (J App Phyc)
Marine,Algae,Psuedokirchneriella subcapitata,Chlorophyceae,0.154,0.000,0.001351351,Patil et al 2007 (Aquaculture International)
Marine,Algae,Tetraselmis,Chlorophyceae,0.162,0.122,0.005063291,Patil et al 2007 (Aquaculture International)
Marine,Algae,Ulva rotundata,Chlorophyceae,9.6,1,0,Fleurance et al. 1994 (J App Phyc)
Marine,Algae,Phaeocystis globosa,Coccolithophyceae,0.8,1.62,4.74,Arendt et al 2005 (Marine Biology)
Marine,Algae,Rhodomonas baltica,Cryptophyceae,0.219,0.080,0,Patil et al 2007 (Aquaculture International)
Marine,Algae,Rhodomonas salina,Cryptophyceae,6.6,13,13.7,Chen et al. 2011 (L&O)
Marine,Algae,Rhodomonas salina,Cryptophyceae,12.5,14.4,9.3,Chen et al. 2011 (L&O)
Marine,Algae,Rhodomonas sp,Cryptophyceae,18.6,16.1,7.8,Chen et al. 2012 (MEPS)
Marine,Algae,Chroomonas salina,Cryptophyceae,13.05,11.4,5.500,Volkman et al 1989 (J Exp Mar Biol Ecol)
Marine,Algae,Chroococcus,Cyanophyceae,0.027,0.000,0,Patil et al 2007 (Aquaculture International)
Marine,Algae,Synechoccocus,Cyanophyceae,0.000,0.000,0,Patil et al 2007 (Aquaculture International)
Marine,Algae,Prorocentrum dentalum,Dinophyceae,2.1,1.5,19,Chen et al. 2012 (MEPS)
Marine,Algae,Nannochloropsis oceanica,Eustigmatophyceae,0.005,0.240,0,Patil et al 2007 (Aquaculture International)
Marine,Algae,Fucus vesiculosus,Pheophyceae,5.2,4.7,0,Fleurance et al. 1994 (J App Phyc)
Marine,Algae,Halidrys siliquosa,Pheophyceae,5.8,3.6,0,Fleurance et al. 1994 (J App Phyc)
Marine,Algae,Laminaria digitata,Pheophyceae,7.9,8.3,0,Fleurance et al. 1994 (J App Phyc)
Marine,Algae,Laminaria saccharina,Pheophyceae,3.6,6.2,0,Fleurance et al. 1994 (J App Phyc)
Marine,Algae,Undaria pinnatifida,Pheophyceae,10.3,8.2,0,Fleurance et al. 1994 (J App Phyc)
Marine,Algae,Isochrysis galbana,Prymneisiophyceae,0.049,0.010,0.204398448,Patil et al 2007 (Aquaculture International)
Marine,Algae,Pavlova,Prymneisiophyceae,0.023,0.232,0.170103093,Patil et al 2007 (Aquaculture International)
Marine,Algae,Isochrysis,Prymneisiophyceae,3.600,0.200,8.300,Volkman et al 1989 (J Exp Mar Biol Ecol)
Marine,Algae,Isochrysis galbana,Prymneisiophyceae,1.6,7.8,9.8,Chen et al. 2011 (L&O)
Marine,Algae,Isochrysis galbana,Prymneisiophyceae,4.2,4.7,15.5,Chen et al. 2011 (L&O)
Marine,Algae,Isochrysis sp.,Prymneisiophyceae,3.22,1.01,7.69,Arendt et al 2005 (Marine Biology)
Marine,Algae,Pavlova lutheri,Prymneisiophyceae,1.800,19.700,9.400,Volkman et al 1989 (J Exp Mar Biol Ecol)
Marine,Algae,Chondrus crispus,Rhodophyceae,1.1,18.7,0.3,Fleurance et al. 1994 (J App Phyc)
Marine,Algae,Gracilaria verrucosa,Rhodophyceae,0.5,25.8,0.2,Fleurance et al. 1994 (J App Phyc)
Marine,Algae,Palmaria palmata,Rhodophyceae,1,46.6,0.5,Fleurance et al. 1994 (J App Phyc)
Marine,Algae,Porphyra umbilicalis,Rhodophyceae,0.2,48,0,Fleurance et al. 1994 (J App Phyc)
Marine,Algae,Porphyridium cruentum,Rhodophyceae,0.000,0.295,0,Patil et al 2007 (Aquaculture International)
Marine,Algae,Strombidium sulcatum,Spirotrichea,0,0,0,Chen et al. 2012 (MEPS)
Terrestrial,Leaf litter,Alder,,18.980,0.780,0.270,Volk and Kiffney 2012 (Aquatic Ecology)
Terrestrial,Leaf litter,Alder,,21.170,1.140,0.000,Volk and Kiffney 2012 (Aquatic Ecology)
Terrestrial,Plant greens,Bulrush,,16.13,0,0,Malainey et al 1999 (J Arch Sci)
Terrestrial,Plant greens,Cattail,,14.94,0,0,Malainey et al 1999 (J Arch Sci)
Terrestrial,Plant greens,Chickweed,,15.05,0,0,Malainey et al 1999 (J Arch Sci)
Terrestrial,Plant greens,Cow parsnip,,19.15,0,0,Malainey et al 1999 (J Arch Sci)
Terrestrial,Plant greens,Dock,,37.61,0,0,Malainey et al 1999 (J Arch Sci)
Terrestrial,Plant greens,False solomon's seal,,32.48,0,0,Malainey et al 1999 (J Arch Sci)
Terrestrial,Plant greens,Fireweed,,38.1,0,0,Malainey et al 1999 (J Arch Sci)
Terrestrial,Plant greens,Golden rod,,36.3,0,0,Malainey et al 1999 (J Arch Sci)
Terrestrial,Plant greens,Goosefoot,,34.89,0,0,Malainey et al 1999 (J Arch Sci)
Terrestrial,Plant greens,Mare's tail,,9.29,0,0,Malainey et al 1999 (J Arch Sci)
Terrestrial,Plant greens,Sarsaparilla,,41.57,0,0,Malainey et al 1999 (J Arch Sci)
Terrestrial,Plant greens,Stinging nettle,,30.85,0,0,Malainey et al 1999 (J Arch Sci)
Terrestrial,Plant greens,Voilet,,31.19,0,0,Malainey et al 1999 (J Arch Sci)
Terrestrial,Plant greens,Water-hore hound,,30.71,0,0,Malainey et al 1999 (J Arch Sci)
Terrestrial,Plant greens,Amaranthus viridus,,24.24,0.93,0,Guil et al 1996 (J Chromatography)
Terrestrial,Plant greens,Beta maritima,,29.44,0.54,0.65,Guil et al 1996 (J Chromatography)
Terrestrial,Plant greens,Cakile martima,,23.84,0.09,0,Guil et al 1996 (J Chromatography)
Terrestrial,Plant greens,Cardaria draba,,30.56,2.16,0,Guil et al 1996 (J Chromatography)
Terrestrial,Plant greens,Chenopodium album,,44.82,0.36,0,Guil et al 1996 (J Chromatography)
Terrestrial,Plant greens,Chenopodium murale,,36.04,0.41,0,Guil et al 1996 (J Chromatography)
Terrestrial,Plant greens,Chenopodium opulifolium,,33.02,3.06,2.3,Guil et al 1996 (J Chromatography)
Terrestrial,Plant greens,Crithmum maritinum,,9.98,0.76,0,Guil et al 1996 (J Chromatography)
Terrestrial,Plant greens,Malva sylvestris,,42.22,0,0,Guil et al 1996 (J Chromatography)
Terrestrial,Plant greens,Parietaria diffusa,,21.18,0,0,Guil et al 1996 (J Chromatography)
Terrestrial,Plant greens,Pichris echoides,,43.2,0,0,Guil et al 1996 (J Chromatography)
Terrestrial,Plant greens,Plantago major,,33.32,1.27,1.47,Guil et al 1996 (J Chromatography)
Terrestrial,Plant greens,Portulaca oleracea,,32.6,0,0,Guil et al 1996 (J Chromatography)
Terrestrial,Plant greens,Rumex crispus,,41.21,0.12,0,Guil et al 1996 (J Chromatography)
Terrestrial,Plant greens,Salicornia europaea,,28.03,0.39,0,Guil et al 1996 (J Chromatography)
Terrestrial,Plant greens,Sisymbrium irio,,31.04,0.55,0.83,Guil et al 1996 (J Chromatography)
Terrestrial,Plant greens,Sonchus oleraceus,,43.58,0.35,0,Guil et al 1996 (J Chromatography)
Terrestrial,Plant greens,Sonchus tenerrimus,,30.33,0,0,Guil et al 1996 (J Chromatography)
Terrestrial,Plant greens,Stellaria media,,22.75,0.42,0,Guil et al 1996 (J Chromatography)
Terrestrial,Plant greens,Verbena officinalis,,54.99,0.6,0,Guil et al 1996 (J Chromatography)
Terrestrial,Plant greens,Amaranthus viridus,,59.5,0,0,Lui et al 2002 (J Food Lipids)
Terrestrial,Plant greens,Atriplex nummularia,,50,0,0,Lui et al 2002 (J Food Lipids)
Terrestrial,Plant greens,Chenopodium album,,64.6,0,0,Lui et al 2002 (J Food Lipids)
Terrestrial,Plant greens,Plantago major,,58.4,0,0,Lui et al 2002 (J Food Lipids)
Terrestrial,Plant greens,Solanum nigrum,,63.2,0,0,Lui et al 2002 (J Food Lipids)
Terrestrial,Plant greens,Sonchus oleraceus,,65,0,0,Lui et al 2002 (J Food Lipids)
Terrestrial,Plant greens,Stellaria media,,53.8,0,0,Lui et al 2002 (J Food Lipids)
Terrestrial,Plant greens,Taraxacum officinale,,67,0,0,Lui et al 2002 (J Food Lipids)
Terrestrial,Plant greens,Portulaca oleracea,,65.91666667,0,0,Lui et al 2002 (J Food Lipids)
Terrestrial,Plant greens,Ginko biloba,,40.4,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Plant greens,Cycas armstrongii,,43,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Plant greens,Cycas revoluta,,33.6,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Plant greens,Cycas siamensis,,38.3,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Plant greens,Stangeria eriopus,,27.5,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Plant greens,Bowenia spectabilis,,36.5,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Plant greens,Dioon edule,,33.1,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Plant greens,Encephalartos lebomboensis,,24.9,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Plant greens,Lepidozamia hopei,,40.1,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Plant greens,Macrozamia moorei,,36.9,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Plant greens,Ceratozamia robusta,,34.2,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Plant greens,Microcycas calocoma,,47.9,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Plant greens,Zamia furfuracea,,41,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Plant greens,Pinus cembra,,29.1,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Plant greens,Pinus griffithii,,27.5,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Plant greens,Pinus strobiformis,,27.5,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Plant greens,Pinus aristata,,29,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Plant greens,Pinus monophylla,,27.2,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Plant greens,Pinus bungeana,,25.6,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Plant greens,Pinus nigra,,26.7,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Plant greens,Pinus resinosa,,29.4,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Plant greens,Pinus sylvestris,,32.9,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Plant greens,Pinus jeffreyi,,17.9,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Plant greens,Pinus palustris,,26.5,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Plant greens,Pinus pinaster,,16,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Plant greens,Pinus halepensis,,33.2,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Plant greens,Pinus pinea,,31.2,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Plant greens,Picea abies,,32.5,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Plant greens,Picea asperata,,16.5,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Plant greens,Picea chihuahuana,,29.8,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Plant greens,Picea glauca,,16,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Plant greens,Picea omorica,,12.6,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Plant greens,Picea sitchensis,,34.2,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Plant greens,Picea torano,,28.4,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Plant greens,Larix decidua,,45.9,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Plant greens,Larix gmelinii,,40.2,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Plant greens,Larix kaempferi,,34.4,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Plant greens,Larix laricina,,40.5,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Plant greens,Larix lyallii,,35.8,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Plant greens,Larix sibirica,,38.4,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Plant greens,Pseudotsuga macrocarpa,,36.7,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Plant greens,Pseudotsuga menziesii,,18.65,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Plant greens,Abies alba,,22.6,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Plant greens,Abies cephalonica,,28.1,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Plant greens,Abies concolor,,32.2,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Plant greens,Abies grandis,,24.6,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Plant greens,Abies pinsapo,,25.5,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Plant greens,Abies sachalinensis,,10,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Plant greens,Abies veitchii,,11.6,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Plant greens,Abies vejarii,,18.2,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Plant greens,Cedrus atlantica glauca,,33,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Plant greens,Cedrus libani,,23.5,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Plant greens,Cedrus deodora,,25.4,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Plant greens,Keteleeria evelyniana,,30.9,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Plant greens,Pseudolarix amabilis,,31.7,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Plant greens,Tsuga canadensis,,37.9,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Plant greens,Sciadopitys verticillata,,23.6,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Plant greens,Dacrydium cupressinum,,36.1,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Plant greens,Decussocarpus minor,,31.3,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Plant greens,Microstrobus fitzgeraldi,,21.9,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Plant greens,Podocarpus chinensis,,31.6,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Plant greens,Podocarpus macrophyllus,,32.7,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Plant greens,Podocarpus nivalis,,26.3,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Plant greens,Podocarpus salignus,,36.9,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Plant greens,Prumnopitys andina,,37.1,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Plant greens,Prumnopitys ferruginea,,33.5,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Plant greens,Prumnopitys taxifolia,,35.3,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Plant greens,Agathis australis,,27.5,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Plant greens,Agathis robusta,,41.8,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Plant greens,Agathis moorei,,40.6,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Plant greens,Araucaria angustifolia,,37.8,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Plant greens,Araucaria cunninghamii,,2.5,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Plant greens,Araucaria aruacana,,30.1,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Plant greens,Araucaria luxurians,,30.2,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Plant greens,Araucaria montana,,11.3,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Plant greens,Cephalotaxus fortunei,,40.6,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Plant greens,Cephalotaxus harringtonii,,44.35,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Plant greens,Cephalotaxus sinensis,,36.2,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Plant greens,Metasequoia glyptostroboides,,54.1,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Plant greens,Sequoia sempervirens,,39.1,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Plant greens,Sequoiadendron giganteum,,35.7,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Plant greens,Taxodium distichum,,41.55,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Plant greens,Taxodium mucronatum,,45.6,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Plant greens,Cryptomeria japonica,,23.3,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Plant greens,Cunninghamia konishii,,47.8,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Plant greens,Cunninghamia lanceolata,,52.3,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Plant greens,Athrotaxis laxifolia,,35,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Plant greens,Taiwania cryptomeroides,,38.4,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Plant greens,Cupressus bakerii,,31.9,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Plant greens,Cupressus dupreziana,,37.8,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Plant greens,Cupressus funebris,,28.9,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Plant greens,Cupressus goveniana,,28.3,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Plant greens,Cupressus lusitanica,,30.7,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Plant greens,Cupressus sempervirens,,32.1,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Plant greens,Cupressus torulosa,,33.3,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Plant greens,Cupressus lawsoniana,,28.3,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Plant greens,Cupressus pisifera,,34.4,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Plant greens,Cupressus notabilis,,30.8,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Plant greens,Cupressus ovensii,,22.4,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Plant greens,Fokienia hodginsii,,25.2,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Plant greens,Austrocedrus chilensis,,23,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Plant greens,Calocendrus decurrens,,26.05,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Plant greens,Thuja koraiensis,,20.9,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Plant greens,Thuja occidentalis,,27.4,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Plant greens,Platycladus orientalis,,31.8,0,0,Mongrand et al. 2001 (Phytochemistry)
